 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.13764E+01      -0.67467E-03      -0.13838E-02      -0.42570E+01       0.19260E+00       0.35208E+00
      0      1      -0.16089E+01       0.25244E-02       0.22606E+00       0.19930E+01       0.32758E+00       0.20879E+01
      0      1      -0.93143E+00      -0.14463E-02      -0.14278E+00      -0.98284E+00       0.20942E-01      -0.38328E+00
      0      1      -0.11861E+01       0.43485E-02       0.46704E+00       0.16534E+01       0.14321E+00       0.45862E+00
      0      1      -0.24429E+01       0.41873E-02       0.13767E+00       0.85110E+01      -0.13826E+00      -0.15151E+01
      0      1       0.99289E-01      -0.21024E-02      -0.21351E+00      -0.38817E+01      -0.11390E-01       0.15410E+01
      0      1      -0.17754E+00      -0.87259E-04       0.72491E-01      -0.52173E+01       0.18817E+00       0.13113E+01
      0      1       0.70420E+00      -0.14311E-02      -0.29155E+00       0.26772E+01       0.13400E+00      -0.35986E+00
      0      1       0.32985E+00      -0.26841E-02      -0.33112E+00       0.63954E+00       0.32282E-01      -0.28638E+00
      0      1      -0.14587E+01       0.31492E-02       0.30322E-01       0.63565E+01       0.83147E-01      -0.87250E-01
      0      1       0.12368E+01      -0.18561E-02      -0.21304E+00      -0.23833E+01      -0.23792E+00      -0.14314E+01
      0      1      -0.65923E+00       0.67442E-03      -0.10665E+00       0.16655E+01      -0.66481E-01      -0.29260E+01
      0      1      -0.31626E+00       0.22631E-02       0.90575E-01       0.15293E+01      -0.12644E+00      -0.94229E-01
      0      1       0.15975E+00       0.19793E-02       0.25326E+00      -0.12194E-01      -0.13821E+00       0.87090E+00
      0      1      -0.65826E+00       0.26482E-02       0.89820E-01       0.17236E+01      -0.18092E+00       0.10036E+01
      0      1      -0.86317E-01      -0.13673E-03      -0.91819E-01      -0.28441E+01      -0.58571E-01      -0.20024E+01
      0      1      -0.23138E+01       0.52037E-02       0.41153E+00       0.44185E+01       0.25817E+00       0.12965E+01
      0      1      -0.11395E+00      -0.11867E-02      -0.19659E+00       0.29929E+01      -0.27783E-01      -0.17120E+01
