 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1       0.81449E+00       0.18432E-02       0.19736E+01       0.13589E+02       0.44949E+00       0.14105E+01
      0      1       0.71088E+00      -0.30973E-02      -0.68656E+00      -0.47266E+01       0.28985E+00      -0.45356E+00
      0      1       0.47500E+00      -0.54837E-02      -0.27860E+01      -0.19181E+02      -0.37426E+00      -0.20216E+01
      0      1       0.12906E+01      -0.20327E-02       0.29730E+01       0.20471E+02       0.26499E+00       0.12141E+01
      0      1      -0.72504E+00       0.11584E-02      -0.88808E+00      -0.61123E+01       0.31253E+00       0.17404E+01
      0      1      -0.32236E-01      -0.95037E-03       0.97996E-01       0.67074E+00      -0.25919E+00      -0.11868E+00
      0      1       0.13380E+00       0.33283E-03      -0.73865E+00      -0.50895E+01       0.27928E+00       0.11789E+01
      0      1       0.91672E+00       0.34327E-02      -0.26706E+01      -0.18386E+02      -0.13883E-01       0.53468E+00
      0      1      -0.25833E+00      -0.55877E-03       0.11452E+00       0.78551E+00       0.45592E+00       0.18304E+01
      0      1      -0.25082E+00       0.23085E-02      -0.11120E+01      -0.76559E+01       0.37358E+00       0.35402E+00
      0      1      -0.55777E+00      -0.42657E-02      -0.28274E+01      -0.19466E+02      -0.19291E+00      -0.29480E+00
      0      1       0.62301E+00      -0.31521E-02      -0.26621E+01      -0.18326E+02       0.22418E+00       0.99651E+00
      0      1       0.42512E+00       0.31450E-02      -0.84969E+00      -0.58494E+01      -0.44489E-01      -0.98626E+00
      0      1      -0.12371E+01       0.41712E-02       0.26575E+00       0.18289E+01       0.10982E+00       0.50989E+00
      0      1      -0.79444E+00       0.97013E-03       0.27642E+01       0.19031E+02      -0.18966E+00       0.58616E+00
      0      1      -0.67527E+00       0.29848E-02       0.24231E+01       0.16680E+02      -0.19960E+00      -0.14251E+01
      0      1       0.67234E+00      -0.12777E-02      -0.27345E+01      -0.18826E+02       0.16507E+00      -0.74913E+00
      0      1       0.90419E+00      -0.35306E-02      -0.24293E+01      -0.16727E+02       0.41203E+00       0.12790E+01
      0      1       0.97138E+00      -0.51345E-02      -0.21669E+01      -0.14920E+02       0.15813E+00       0.94427E+00
      0      1      -0.68631E-01      -0.35044E-03      -0.17243E+01      -0.11869E+02       0.42862E+00       0.10936E+00
      0      1       0.48887E+00      -0.25785E-02      -0.17383E+01      -0.11971E+02       0.27134E+00       0.66561E+00
      0      1       0.16247E-02       0.44276E-03      -0.26313E+01      -0.18114E+02      -0.32246E+00      -0.13038E+01
      0      1      -0.44230E+00      -0.48306E-03      -0.23981E+01      -0.16509E+02      -0.48478E+00      -0.28996E+01
      0      1       0.21955E+00      -0.38173E-02       0.23883E+01       0.16445E+02      -0.11250E+00      -0.45130E+00
